system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,NDRE,NDVI,NDWI,SAVI,VH,VH_VV,VV,VV_contrast,VV_ent,VV_var,agbd,agbd_se,elevation,slope,.geo
20,0.2044,0.1081,0.0337,0.0588,0.0427,0.0988,0.2103,0.2504,0.2535,0.2682,0.4192688899946028,0.4391144,0.7116813,0.107228674,0.39713641777944314,-16.753288953138124,-6.779579639175116,-9.973709313963008,76.70337301587301,4.13850825702962,94.27497775731172,110.171982,17.12174415588379,1098,13.884789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9533927882252,10.279983243232259]}"
21,0.1855,0.0934,0.0293,0.0615,0.0323,0.1032,0.2346,0.2738,0.2809,0.2992,0.49523886182609966,0.46263993,0.793742,0.20454547,0.45855878413487916,-16.158133712487494,-6.017871495580888,-10.140262216906606,190.80257936507937,4.208648150300567,274.97641388730335,12.45867919921875,17.139204025268555,1103,13.245744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93834600721621,10.28020782205329]}"
22,0.2082,0.1001,0.0315,0.066,0.0377,0.11595,0.27223334,0.3134,0.31743333,0.33635,0.5349106871562658,0.46490788,0.7876854,0.2078128,0.4906837044026131,-16.69612102684807,-6.264160276918952,-10.431960749929116,183.13194444444443,4.254720433135404,448.1983605363421,13.03130054473877,17.13713264465332,1099,7.9709673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94104095306857,10.28020782205329]}"
23,0.24466667,0.1331,0.0382,0.06584,0.052075,0.11755,0.2471,0.29,0.3056,0.3172,0.475996002061677,0.44440505,0.70881385,0.11073417,0.44339346429247894,-17.51124092350632,-6.167574062129146,-11.343666861377175,34.76785714285714,3.8732930061139923,74.86508920697088,26.875534057617188,17.130491256713867,1145,16.791979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95631231289859,10.28020782205329]}"
24,0.189475,0.09216667,0.030233333,0.05225,0.0330875,0.09045,0.20415,0.24173333,0.25095,0.27296665,0.44544461685200654,0.47012305,0.7670202,0.1395811,0.4168088394020842,-17.50256724398176,-6.0383646727672105,-11.464202571214548,124.53472222222223,4.182517601827076,115.29615358874253,70.064293,17.127859,1179,20.954632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95968099521404,10.28020782205329]}"
25,0.21105,0.10475,0.03555,0.06025,0.0413,0.10214,0.23225,0.27315,0.29055,0.30258334,0.48998406683912943,0.4797932,0.7510924,0.1584928,0.44945001575293775,-17.051968587234118,-6.048824839355289,-11.003143747878829,96.62301587301589,4.167389389552951,99.83471513605946,70.064293,17.127859,1190,22.721348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95990557403508,10.28020782205329]}"
26,0.26315,0.15155,0.04685,0.0824,0.07685,0.14035,0.26015,0.2967,0.3037,0.324,0.40124167418497253,0.36786398,0.5961109,0.07153567,0.38643462112331617,-16.66778493375608,-6.9730045957389155,-9.694780338017166,167.98809523809518,4.2368416368114366,218.10284785209114,13.109818458557129,17.136356353759766,1086,4.792307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9405917954265,10.28065697969535]}"
27,0.23506667,0.1389,0.05025,0.0697,0.0687,0.1108,0.2039,0.24132,0.243,0.26995,0.3408757568055531,0.37365744,0.5591915,0.016594617,0.3221017613275306,-16.953331744947477,-6.343788763051592,-10.609542981895885,94.05654761904763,4.010902869519009,123.87534938746285,11.258264541625977,17.13898468017578,1141,10.816015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95608773407757,10.28065697969535]}"
28,0.25615,0.13775,0.0369,0.0685,0.05305,0.12295,0.2634,0.30115,0.31705,0.3322,0.48579421054688954,0.44113636,0.71332073,0.10624564,0.45512011261003127,-14.39308371408373,-6.99814171937221,-7.39494199471152,179.2787698412698,4.207960504288105,248.44032954615068,11.773392677307129,17.13839340209961,1085,4.1541953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94036721660548,10.280881558516379]}"
29,0.22375,0.1291,0.04185,0.0629,0.0553,0.1048,0.20915,0.24365,0.25055,0.2719,0.38481247218054915,0.410159,0.6383848,0.056504335,0.3634361235313008,-15.674724531021294,-6.298888200517419,-9.375836330503875,179.64583333333337,4.077928190505644,160.67586589036546,28.42125701904297,17.129777908325195,1141,5.9763455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95586315525654,10.280881558516379]}"
30,0.23055,0.1096,0.035,0.07065,0.0413,0.12155,0.28425,0.3257,0.341,0.3559,0.5649174319083078,0.47443518,0.7839393,0.19324641,0.5095205636195821,-14.786683087893822,-6.3290937048800515,-8.45758938301377,145.97519841269838,4.116827242408879,287.63084116746904,59.886192321777344,17.13043785095215,1098,11.297078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93789684957414,10.281106137337408]}"
31,0.2324,0.1193,0.03775,0.0676,0.0515,0.1149,0.2423,0.285,0.2935,0.31575,0.4585504548722328,0.43731636,0.7014493,0.11618179,0.4295858065329705,-13.705306132893789,-6.1609217988632725,-7.544384334030516,219.15376984126985,4.188706415939219,356.42257869583045,51.56801986694336,17.13232421875,1094,8.56733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94912579062564,10.281106137337408]}"
32,0.1947,0.09615,0.0279,0.0525,0.03156667,0.09216667,0.2113,0.25533333,0.2657,0.2809,0.469826501571648,0.48491058,0.78762054,0.15421374,0.44050507151040996,-19.203547696777985,-6.539696049861197,-12.663851646916788,188.1111111111111,4.133991505749397,279.01712884227163,23.882991790771484,17.132038116455078,1162,17.704258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95900725875096,10.281106137337408]}"
33,0.19095,0.095,0.03035,0.061,0.0352,0.10465,0.2481,0.28925,0.3,0.3158,0.5157470529030891,0.4827629,0.7899761,0.22212039,0.475574727716609,-18.183719972362837,-6.459162907869075,-11.724557064493762,168.93750000000003,4.185955831889377,191.70909608056354,49.16887664794922,17.129056930541992,1094,13.976572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93744769193209,10.28133071615844]}"
34,0.221,0.110225,0.03275,0.06723333,0.0434,0.1125,0.24112,0.27975,0.29337916,0.3095,0.47773260061920725,0.4456478,0.74226433,0.14071168,0.448109553953713,-15.096075407895503,-6.312301530727687,-8.783773877167816,178.65277777777771,4.122004752730573,263.8420926240997,11.410322189331055,17.139116287231445,1090,4.675623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94014263778445,10.28133071615844]}"
35,0.20835,0.10245,0.0311375,0.06351667,0.03905,0.1126,0.259925,0.302275,0.314725,0.330775,0.5239002567787786,0.47300068,0.7792382,0.20336473,0.4843342900558476,-15.582215511884998,-6.564863911945881,-9.017351599939117,218.46924603174602,4.1694523275903315,350.2496565177007,67.277359,17.1297664642334,1097,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94890121180461,10.28133071615844]}"
36,0.21495,0.11135,0.0346,0.0637,0.04425,0.112,0.22305,0.26055,0.27625,0.2858,0.4523298975833372,0.42305216,0.72386897,0.124796435,0.4241316326801314,-17.231694034596217,-6.10695129167607,-11.124742742920146,307.7291666666667,4.203834628213344,216.72874051241524,82.51066589355469,17.12543487548828,1083,11.297085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95249447294108,10.28133071615844]}"
37,0.2237,0.1138,0.03295,0.06045,0.0442,0.10875,0.237,0.27765,0.2901,0.30345,0.4699294943023157,0.45468223,0.73556685,0.12923318,0.4421071675053526,-14.338860394966774,-6.413951951145228,-7.924908443821546,265.7132936507936,4.185268185876917,276.1112046091712,11.254525184631348,17.138505935668945,1135,5.45663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95541399761447,10.28133071615844]}"
38,0.2315,0.1274,0.0396,0.0694,0.063,0.1196,0.2409,0.2783,0.2831,0.298,0.40337952727839077,0.40600947,0.63594335,0.100272074,0.3902021132650088,-16.583073325488765,-6.531125968963302,-10.051947356525464,143.35813492063488,4.114076658359038,177.34891404480186,15.709733009338379,17.135936737060547,1082,11.734865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93969348014238,10.281779873800499]}"
39,0.2272,0.1116,0.034775,0.0665,0.04452,0.1167,0.2642,0.309575,0.3215,0.3413,0.5214987838215037,0.4673665,0.7567346,0.17186077,0.4797464258633274,-14.518127998889515,-6.6081626668230005,-7.909965332066514,156.5863095238095,4.148135301204063,123.69410883566343,12.592267990112305,17.137712478637695,1098,2.935235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94845205416254,10.281779873800499]}"
40,0.21755,0.1173,0.03715,0.06155,0.0482,0.1048,0.2175,0.25055,0.26655,0.2823,0.42742488528815076,0.43557292,0.69372517,0.101218775,0.40199448269306953,-16.379943998771683,-5.959993400309312,-10.419950598462371,211.35019841269838,4.202459336188424,301.8313127913516,37.015438079833984,17.13078498840332,1072,11.21331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95226989412006,10.281779873800499]}"
41,0.2311,0.12246667,0.0357,0.0646,0.050333332,0.116275,0.25126666,0.2917,0.3025,0.3166,0.47160403559786257,0.4446899,0.7146906,0.13380812,0.443521608920729,-13.587283914489124,-5.958880632980145,-7.628403281508978,331.86408730158723,4.206713432438444,328.1565797036492,49.87312316894531,17.133943557739258,1137,3.8769813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95518941879345,10.281779873800499]}"
42,0.211475,0.10664,0.032314286,0.0538,0.035675,0.098542854,0.2227,0.2664,0.27616668,0.2943,0.4818083883420826,0.4740307,0.771198,0.13266233,0.44434466158225366,-17.936510897210546,-6.27844429245663,-11.658066604753916,281.54861111111114,4.1176834390530805,337.45260436350145,26.405611038208008,17.131969,1165,15.192403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95833352228786,10.282004452621528]}"
43,0.2184,0.1063,0.03175,0.0644,0.0411,0.1101,0.2479,0.28525,0.30005,0.3095,0.49473643183143967,0.46312323,0.75905025,0.15748864,0.4617785077749531,-16.27141938042435,-6.504928172675246,-9.766491207749105,109.39781746031741,4.155335419106653,135.3090228568526,30.673479,17.13024139404297,1091,8.722273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93946890132136,10.282229031442558]}"
44,0.201625,0.09565,0.030433333,0.056,0.036175,0.0986,0.24155,0.28655,0.30395,0.31326666,0.51783988573089,0.51012295,0.7872841,0.20239332,0.47809850818959254,-14.37844957432165,-6.172977650249347,-8.205471924072302,55.778769841269835,3.9314461463661146,104.79136648872372,25.272153854370117,17.130037307739258,1093,13.916572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94822747534153,10.282229031442558]}"
